Year,Geographical region,Country of nationality,Total,Work,Study,Family,Other 
 2010,Middle East,Iraq,"13,600",160,600,500,"12,400"
 2010,EU 14,Ireland,z,z,z,z,z
 2010,Middle East,Israel,"185,000",620,"1,040",110,"183,000"
 2010,EU 14,Italy,z,z,z,z,z
 2010,Africa Sub-Saharan,Ivory Coast,"4,690",30,95,50,"4,520"
 2010,America Central and South,Jamaica,"28,000",445,215,705,"26,600"
 2010,Asia East,Japan,"523,000","4,760","17,600",445,"500,000"
 2010,Middle East,Jordan,"24,000",250,"1,120",60,"22,500"
 2010,Asia Central,Kazakhstan,"30,700",295,"3,310",55,"27,000"
 2010,Africa Sub-Saharan,Kenya,"39,900",495,"1,120",415,"37,900"
 2010,Oceania,Kiribati,140,10,0,*,130
 2010,Asia East,Korea (North),340,0,5,0,335
 2010,Asia East,Korea (South),"258,000","1,360","11,000",160,"245,000"
 2010,Europe Other,Kosovo,"7,160",15,140,120,"6,890"
 2010,Middle East,Kuwait,"82,400",140,"2,130",20,"80,100"
 2010,Asia Central,Kyrgyzstan,"2,190",40,95,20,"2,030"
 2010,Asia South East,Laos,265,0,5,15,250
 2010,EU 8,Latvia,z,z,z,z,z
 2010,Middle East,Lebanon,"28,200",260,620,85,"27,300"
 2010,Africa Sub-Saharan,Lesotho,630,10,30,5,585
 2010,Africa Sub-Saharan,Liberia,705,5,25,20,660
 2010,Africa North,Libya,"30,500",235,"5,930",75,"24,200"
 2010,Europe Other,Liechtenstein,z,z,z,z,z
 2010,EU 8,Lithuania,z,z,z,z,z
 2010,EU 14,Luxembourg,z,z,z,z,z
 2010,Asia East,Macau,"2,150",*,145,5,"2,000"
 2010,Europe Other,Macedonia,"6,850",55,160,30,"6,610"
 2010,Africa Sub-Saharan,Madagascar,560,15,25,5,515
 2010,Africa Sub-Saharan,Malawi,"4,450",75,240,50,"4,090"
 2010,Asia South East,Malaysia,"238,000","1,020","7,460",205,"229,000"
 2010,Asia South,Maldives,"2,270",10,100,5,"2,160"
 2010,Africa Sub-Saharan,Mali,570,65,20,5,480
 2010,EU Other,Malta,z,z,z,z,z
 2010,Oceania,Marshall Islands,20,0,0,0,20
 2010,America Central and South,Martinique,10,0,0,0,10
 2010,Africa North,Mauritania,305,5,35,5,260
 2010,Africa Sub-Saharan,Mauritius,"40,900",230,915,180,"39,600"
 2010,Africa Sub-Saharan,Mayotte,205,0,10,0,200
 2010,America Central and South,Mexico,"120,000",410,"3,720",155,"116,000"
 2010,Oceania,Micronesia,10,0,0,0,10
 2010,Europe Other,Moldova,"3,760",55,145,30,"3,530"
 2010,Europe Other,Monaco,"1,370",5,10,5,"1,350"
 2010,Asia East,Mongolia,"3,160",30,215,15,"2,900"
 2010,Europe Other,Montenegro,"2,620",15,120,5,"2,480"
 2010,Other,Montserrat (British),115,0,0,0,115
 2010,Africa North,Morocco,"25,600",280,655,305,"24,400"
 2010,Africa Sub-Saharan,Mozambique,"1,300",20,40,5,"1,240"
 2010,Africa Sub-Saharan,Namibia,"2,380",50,50,15,"2,260"
 2010,Oceania,Nauru,20,0,*,0,20
 2010,Asia South,Nepal,"36,800",930,"4,650","2,630","28,600"
 2010,EU 14,Netherlands,z,z,z,z,z
 2010,America Central and South,Netherlands Antilles,0,0,0,0,0
 2010,Oceania,New Caledonia,55,0,0,0,55
 2010,Oceania,New Zealand,"273,000","5,220",605,330,"267,000"
 2010,America Central and South,Nicaragua,"1,590",5,10,5,"1,560"
 2010,Africa Sub-Saharan,Niger,490,10,*,0,475
 2010,Africa Sub-Saharan,Nigeria,"306,000","3,610","13,700","1,310","287,000"
 2010,Oceania,Niue,55,0,0,0,55
 2010,Oceania,Norfolk Island,25,0,0,*,20
 2010,Oceania,Northern Mariana Islands,0,0,0,0,0
 2010,Europe Other,Norway,z,z,z,z,z
 2010,Middle East,Occupied Palestinian Territories,"2,280",45,215,35,"1,990"
 2010,Middle East,Oman,"15,800",85,"1,430",35,"14,300"
 2010,Other,Other and unknown,"10,500",35,115,80,"10,200"
 2010,Asia South,Pakistan,"220,000","6,050","24,500","6,240","183,000"
 2010,Oceania,Palau,20,0,0,0,20
 2010,America Central and South,Panama,"3,270",10,145,10,"3,110"
 2010,Oceania,Papua New Guinea,475,10,20,*,440
 2010,America Central and South,Paraguay,"2,070",40,35,*,"1,990"
 2010,America Central and South,Peru,"10,100",105,430,75,"9,530"
 2010,Asia South East,Philippines,"109,000","6,090","4,840","1,670","96,800"
 2010,Other,Pitcairn Islands (British),35,0,0,0,35
 2010,EU 8,Poland,z,z,z,z,z
 2010,EU 14,Portugal,z,z,z,z,z
 2010,America North,Puerto Rico,15,*,0,0,15
 2010,Middle East,Qatar,"28,500",180,"1,430",10,"26,900"
 2010,Other,Refugee,"32,300",15,125,45,"32,100"
 2010,Africa Sub-Saharan,Reunion,55,0,0,0,55
 2010,EU 2,Romania,z,z,z,z,z
 2010,Europe Other,Russia,"277,000","2,900","17,300",585,"256,000"
 2010,Africa Sub-Saharan,Rwanda,"1,110",25,60,20,"1,000"
 2010,Oceania,Samoa,245,5,0,0,240
 2010,Europe Other,San Marino,910,*,80,0,825
 2010,Africa Sub-Saharan,Sao Tome and Principe,80,0,0,0,80
 2010,Middle East,Saudi Arabia,"148,000",920,"17,800",115,"129,000"
 2010,Africa Sub-Saharan,Senegal,"3,150",70,210,25,"2,840"
 2010,Europe Other,Serbia,"26,800",190,935,60,"25,600"
 2010,Europe Other,Serbia and Montenegro,z,z,z,z,z
 2010,Africa Sub-Saharan,Seychelles,"3,840",45,60,10,"3,720"
 2010,Africa Sub-Saharan,Sierra Leone,"9,440",45,155,155,"9,090"
 2010,Asia South East,Singapore,"111,000",535,"2,960",85,"108,000"
 2010,EU 8,Slovakia,z,z,z,z,z
 2010,EU 8,Slovenia,z,z,z,z,z
 2010,Oceania,Solomon Islands,450,0,20,*,430
 2010,Africa Sub-Saharan,Somalia,"2,900",10,15,825,"2,050"
 2010,Africa Sub-Saharan,South Africa,"278,000","3,330","1,090","1,220","272,000"
 2010,Other,South Georgia and South Sandwich Islands,0,0,0,0,0
 2010,EU 14,Spain,z,z,z,z,z
 2010,Asia South,Sri Lanka,"63,300","1,950","8,600",800,"52,000"
 2010,Other,St. Helena (British),5,0,*,0,5
 2010,America Central and South,St. Kitts and Nevis,"1,120",15,20,5,"1,080"
 2010,America Central and South,St. Lucia,"3,950",20,55,40,"3,840"
 2010,America Central and South,St. Maarten (Dutch Part),z,z,z,z,z
 2010,America Central and South,St. Martin (French Part),0,0,0,0,0
 2010,America Central and South,St. Pierre and Miquelon,*,0,0,0,*
 2010,America Central and South,St. Vincent and the Grenadines,"2,900",15,45,20,"2,820"
 2010,Other,Stateless,"1,640",*,25,5,"1,620"
 2010,Africa North,Sudan,"12,700",325,380,170,"11,800"
 2010,Africa Sub-Saharan,Sudan (South),z,z,z,z,z
 2010,America Central and South,Surinam,235,5,5,*,225
 2010,Europe Other,Svalbard and Jan Mayen,150,0,*,0,145
 2010,Africa Sub-Saharan,Swaziland,785,15,20,5,740
 2010,EU 14,Sweden,z,z,z,z,z
 2010,Europe Other,Switzerland,z,z,z,z,z
 2010,Middle East,Syria,"12,400",160,650,55,"11,500"
 2010,Asia East,Taiwan,"83,300",405,"8,130",85,"74,700"
 2010,Asia Central,Tajikistan,800,15,80,0,705
 2010,Africa Sub-Saharan,Tanzania,"11,700",170,595,125,"10,800"
 2010,Asia South East,Thailand,"98,300",575,"6,980","1,570","89,200"
 2010,Africa Sub-Saharan,Togo,790,5,25,10,755
 2010,Oceania,Tokelau,0,0,0,0,0
 2010,Oceania,Tonga,405,10,5,*,390
 2010,America Central and South,Trinidad and Tobago,"30,500",180,510,100,"29,700"
 2010,Africa North,Tunisia,"10,900",90,290,160,"10,400"
 2010,Europe Other,Turkey,"191,000","1,230","12,600","1,040","176,000"
 2010,Asia Central,Turkmenistan,"2,920",20,305,5,"2,590"
 2010,Other,Turks and Caicos Islands (British),40,0,10,0,30
 2010,Oceania,Tuvalu,35,0,0,0,35
 2010,Africa Sub-Saharan,Uganda,"13,800",175,480,180,"12,900"
 2010,Europe Other,Ukraine,"75,500",670,"2,580",320,"72,000"
 2010,Middle East,United Arab Emirates,"51,000",330,"1,830",10,"48,800"
 2010,America North,United States,"3,580,000","27,800","158,000","2,280","3,390,000"
 2010,America Central and South,Uruguay,"6,980",35,125,10,"6,810"
 2010,Asia Central,Uzbekistan,"4,540",65,220,35,"4,220"
 2010,Oceania,Vanuatu,45,0,0,0,45
 2010,Europe Other,Vatican City,115,5,0,0,110
 2010,America Central and South,Venezuela,"24,600",335,"1,180",55,"23,000"
 2010,Asia South East,Vietnam,"16,800",140,"2,670",140,"13,900"
 2010,Other,Virgin Islands (British),40,0,0,0,40
 2010,America North,Virgin Islands (US),"1,440",0,15,0,"1,430"
 2010,Oceania,Wallis and Futuna,5,0,0,*,5
 2010,Africa North,Western Sahara,0,0,0,0,0
 2010,Middle East,Yemen,"4,740",105,240,140,"4,260"
 2010,Africa Sub-Saharan,Zambia,"10,300",140,320,100,"9,780"
 2010,Africa Sub-Saharan,Zimbabwe,"29,500",385,305,570,"28,200"
 2011,*Total,*Total,"13,300,000","149,000","529,000","37,700","12,600,000"
 2011,Africa North,*Total Africa North,"160,000","2,030","4,930",920,"152,000"
 2011,Africa Sub-Saharan,*Total Africa Sub-Saharan,"879,000","8,340","22,100","5,200","844,000"
 2011,America North,*Total America North,"4,760,000","32,500","151,000","2,840","4,570,000"
 2011,America Central and South,*Total America Central and South ,"895,000","4,770","39,500","1,890","849,000"
 2011,Asia Central,*Total Asia Central,"53,300",810,"4,460","1,780","46,200"
 2011,Asia East,*Total Asia East,"1,570,000","11,600","109,000","1,830","1,440,000"
 2011,Asia South,*Total Asia South,"1,330,000","50,000","86,900","15,400","1,180,000"
 2011,Asia South East,*Total Asia South East,"687,000","9,160","28,100","3,040","646,000"
 2011,EU 14,*Total EU 14,z,z,z,z,z
 2011,EU 2,*Total EU 2,z,z,z,z,z
 2011,EU 8,*Total EU 8,z,z,z,z,z
 2011,EU Other,*Total EU Other,"68,000",115,"1,130",30,"66,700"
 2011,Europe Other,*Total Europe Other,"756,000","5,050","43,200","1,910","706,000"
 2011,Middle East,*Total Middle East,"723,000","3,530","32,600","1,450","686,000"
 2011,Oceania,*Total Oceania,"1,400,000","20,800","4,940","1,310","1,370,000"
 2011,Other,*Total Other,"48,600",45,370,110,"48,100"
 2011,Asia Central,Afghanistan,"11,800",95,565,"1,710","9,450"
 2011,Europe Other,Albania,"16,200",35,375,195,"15,600"
 2011,Africa North,Algeria,"28,600",85,725,265,"27,500"
 2011,Oceania,American Samoa,20,0,0,0,20
 2011,Europe Other,Andorra,"1,190",0,50,0,"1,140"
 2011,Africa Sub-Saharan,Angola,"5,780",90,370,15,"5,310"
 2011,Other,Anguilla (British),5,0,5,0,*
 2011,America Central and South,Antigua and Barbuda,"2,810",10,15,5,"2,780"
 2011,America Central and South,Argentina,"110,000","1,050","2,600",50,"106,000"
 2011,Europe Other,Armenia,"4,030",50,290,10,"3,680"
 2011,America Central and South,Aruba,140,*,5,*,130
 2011,Oceania,Australia,"1,120,000","15,800","4,200",950,"1,100,000"
 2011,EU 14,Austria,z,z,z,z,z
 2011,Europe Other,Azerbaijan,"11,600",135,715,40,"10,700"
 2011,America Central and South,"Bahamas, The","3,000",25,75,5,"2,900"
 2011,Middle East,Bahrain,"21,000",65,750,5,"20,100"
 2011,Asia South,Bangladesh,"53,600",950,"6,260","1,670","44,700"
 2011,America Central and South,Barbados,"12,400",75,125,25,"12,200"
 2011,Europe Other,Belarus,"16,900",140,565,60,"16,200"
 2011,EU 14,Belgium,z,z,z,z,z
 2011,America Central and South,Belize,"1,250",10,25,5,"1,210"
 2011,Africa Sub-Saharan,Benin,735,10,20,*,700
 2011,Other,Bermuda (British),150,0,10,0,140
 2011,Asia South,Bhutan,295,10,20,*,265
 2011,America Central and South,Bolivia,"2,660",20,70,20,"2,560"
 2011,America Central and South,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0
 2011,Europe Other,Bosnia and Herzegovina,"11,300",20,160,15,"11,100"
 2011,Africa Sub-Saharan,Botswana,"4,270",20,225,20,"4,010"
 2011,America Central and South,Brazil,"378,000","1,310","21,000",365,"356,000"
 2011,Other,British overseas citizens,"5,180",5,170,*,"5,000"
 2011,Asia South East,Brunei,"13,300",50,"1,210",5,"12,000"
 2011,EU 2,Bulgaria,z,z,z,z,z
 2011,Africa Sub-Saharan,Burkina,370,10,20,5,340
 2011,Asia South East,Burma,"3,740",60,240,20,"3,420"
 2011,Africa Sub-Saharan,Burundi,395,10,15,10,360
 2011,Asia South East,Cambodia,750,10,65,15,660
 2011,Africa Sub-Saharan,Cameroon,"10,300",85,780,85,"9,380"
 2011,America North,Canada,"947,000","6,500","7,300",495,"933,000"
 2011,Africa Sub-Saharan,Cape Verde,310,5,5,10,295
 2011,Other,Cayman Islands (British),30,0,0,0,30
 2011,Africa Sub-Saharan,Central African Republic,30,*,*,0,25
 2011,Africa Sub-Saharan,Chad,390,*,25,0,365
 2011,America Central and South,Chile,"39,000",195,"2,150",35,"36,600"
 2011,Asia East,China,"459,000","4,210","60,500","1,140","393,000"
 2011,Oceania,Christmas Island,0,0,0,0,0
 2011,Oceania,Cocos (Keeling) Islands,145,0,0,0,145
 2011,America Central and South,Colombia,"46,000",315,"4,730",165,"40,700"
 2011,Africa Sub-Saharan,Comoros,170,0,*,0,170
 2011,Africa Sub-Saharan,Congo,"3,090",25,40,65,"2,960"
 2011,Africa Sub-Saharan,Congo (Democratic Republic),"1,920",5,15,15,"1,880"
 2011,Oceania,Cook Islands,25,0,5,0,20
 2011,America Central and South,Costa Rica,"7,000",35,115,10,"6,830"
 2011,EU Other,Croatia,"68,000",115,"1,130",30,"66,700"
 2011,America Central and South,Cuba,"3,360",155,25,45,"3,140"
 2011,America Central and South,Curacao,0,0,0,0,0
 2011,EU Other,Cyprus,z,z,z,z,z
 2011,Europe Other,Cyprus (Northern part of),635,0,35,5,600
 2011,EU 8,Czech Republic,z,z,z,z,z
 2011,EU 14,Denmark,z,z,z,z,z
 2011,Africa Sub-Saharan,Djibouti,130,5,15,5,105
 2011,America Central and South,Dominica,"2,090",10,20,15,"2,040"
 2011,America Central and South,Dominican Republic,"2,260",40,35,20,"2,160"
 2011,Asia South East,East Timor,150,0,*,0,150
 2011,America Central and South,Ecuador,"5,990",65,245,40,"5,650"
 2011,Africa North,Egypt,"67,700","1,200","1,270",200,"65,100"
 2011,America Central and South,El Salvador,"1,990",20,40,5,"1,920"
 2011,Africa Sub-Saharan,Equatorial Guinea,310,0,70,5,240
 2011,Africa Sub-Saharan,Eritrea,"1,550",105,20,115,"1,300"
 2011,EU 8,Estonia,z,z,z,z,z
 2011,Africa Sub-Saharan,Ethiopia,"5,320",245,200,120,"4,750"
 2011,Other,Falkland Islands (British),0,0,0,0,0
 2011,Europe Other,Faroe Islands,135,0,0,0,135
 2011,Oceania,Fiji,"2,900",5,5,60,"2,820"
 2011,EU 14,Finland,z,z,z,z,z
 2011,Europe Other,Former Yugoslavia,"1,720",*,10,0,"1,710"
 2011,EU 14,France,z,z,z,z,z
 2011,America Central and South,French Guiana,10,0,0,0,10
 2011,Oceania,French Polynesia,0,0,0,0,0
 2011,Africa Sub-Saharan,Gabon,595,25,15,0,560
 2011,Africa Sub-Saharan,"Gambia, The","6,900",50,150,190,"6,520"
 2011,Europe Other,Georgia,"9,040",95,535,20,"8,390"
 2011,EU 14,Germany,z,z,z,z,z
 2011,Africa Sub-Saharan,Ghana,"58,100",640,"1,240",725,"55,500"
 2011,Other,Gibraltar (British),25,0,0,0,25
 2011,EU 14,Greece,z,z,z,z,z
 2011,Europe Other,Greenland,5,0,0,0,5
 2011,America Central and South,Grenada,"3,090",15,30,25,"3,020"
 2011,America Central and South,Guadeloupe,0,0,0,0,0
 2011,Oceania,Guam,5,0,0,0,5
 2011,America Central and South,Guatemala,"4,080",15,70,5,"3,990"
 2011,Africa Sub-Saharan,Guinea,"1,350",10,70,30,"1,240"
 2011,Africa Sub-Saharan,Guinea-Bissau,200,0,0,5,195
 2011,America Central and South,Guyana,"2,790",20,40,50,"2,680"
 2011,America Central and South,Haiti,475,5,5,5,465
 2011,Oceania,Heard Island and McDonald Islands,0,0,0,0,0
 2011,America Central and South,Honduras,"3,330",30,20,5,"3,280"
 2011,Asia East,Hong Kong,"159,000",345,"9,230",105,"150,000"
 2011,EU 8,Hungary,z,z,z,z,z
 2011,Europe Other,Iceland,z,z,z,z,z
 2011,Asia South,India,"939,000","41,500","37,900","3,430","856,000"
 2011,Asia South East,Indonesia,"43,000","1,510","1,500",110,"39,900"
 2011,Middle East,Iran,"62,500",560,"2,850",345,"58,700"
 2011,Middle East,Iraq,"16,900",150,"1,960",515,"14,300"
 2011,EU 14,Ireland,z,z,z,z,z
 2011,Middle East,Israel,"189,000",500,"1,180",65,"188,000"
 2011,EU 14,Italy,z,z,z,z,z
 2011,Africa Sub-Saharan,Ivory Coast,"3,930",25,110,30,"3,770"
 2011,America Central and South,Jamaica,"26,400",360,170,625,"25,300"
 2011,Asia East,Japan,"559,000","5,010","19,700",370,"534,000"
 2011,Middle East,Jordan,"25,900",205,"1,210",70,"24,500"
 2011,Asia Central,Kazakhstan,"31,200",560,"3,220",35,"27,400"
 2011,Africa Sub-Saharan,Kenya,"39,800",390,"1,100",280,"38,000"
 2011,Oceania,Kiribati,75,0,*,0,75
 2011,Asia East,Korea (North),95,5,*,0,90
 2011,Asia East,Korea (South),"290,000","1,520","10,700",125,"278,000"
 2011,Europe Other,Kosovo,"7,810",15,210,70,"7,520"
 2011,Middle East,Kuwait,"97,300",185,"2,450",20,"94,700"
 2011,Asia Central,Kyrgyzstan,"2,090",20,105,5,"1,960"
 2011,Asia South East,Laos,230,5,15,10,200
 2011,EU 8,Latvia,z,z,z,z,z
 2011,Middle East,Lebanon,"28,700",185,640,55,"27,900"
 2011,Africa Sub-Saharan,Lesotho,645,10,10,5,620
 2011,Africa Sub-Saharan,Liberia,730,0,25,10,700
 2011,Africa North,Libya,"10,700",100,"1,160",20,"9,400"
 2011,Europe Other,Liechtenstein,z,z,z,z,z
 2011,EU 8,Lithuania,z,z,z,z,z
 2011,EU 14,Luxembourg,z,z,z,z,z
 2011,Asia East,Macau,"2,520",5,150,5,"2,370"
 2011,Europe Other,Macedonia,"9,410",45,130,15,"9,220"
 2011,Africa Sub-Saharan,Madagascar,685,10,15,*,665
 2011,Africa Sub-Saharan,Malawi,"4,070",95,205,65,"3,710"
 2011,Asia South East,Malaysia,"246,000",825,"8,040",215,"237,000"
 2011,Asia South,Maldives,"1,950",30,90,5,"1,820"
 2011,Africa Sub-Saharan,Mali,565,35,25,5,500
 2011,EU Other,Malta,z,z,z,z,z
 2011,Oceania,Marshall Islands,10,0,0,0,10
 2011,America Central and South,Martinique,20,0,0,0,20
 2011,Africa North,Mauritania,460,*,25,0,430
 2011,Africa Sub-Saharan,Mauritius,"41,000",170,730,125,"40,000"
 2011,Africa Sub-Saharan,Mayotte,55,0,15,0,40
 2011,America Central and South,Mexico,"136,000",470,"4,960",120,"130,000"
 2011,Oceania,Micronesia,25,*,0,0,25
 2011,Europe Other,Moldova,"3,890",45,160,15,"3,670"
 2011,Europe Other,Monaco,"1,740",5,40,*,"1,690"
 2011,Asia East,Mongolia,"3,660",35,225,10,"3,390"
 2011,Europe Other,Montenegro,"2,500",10,145,*,"2,350"
 2011,Other,Montserrat (British),45,0,0,0,45
 2011,Africa North,Morocco,"29,100",255,"1,020",195,"27,600"
 2011,Africa Sub-Saharan,Mozambique,990,10,45,5,930
 2011,Africa Sub-Saharan,Namibia,"2,840",15,60,15,"2,750"
 2011,Oceania,Nauru,25,0,10,5,10
 2011,Asia South,Nepal,"36,200",710,"2,940","2,200","30,300"
 2011,EU 14,Netherlands,z,z,z,z,z
 2011,America Central and South,Netherlands Antilles,z,z,z,z,z
 2011,Oceania,New Caledonia,40,*,0,*,35
 2011,Oceania,New Zealand,"271,000","4,960",690,280,"265,000"
 2011,America Central and South,Nicaragua,"1,740",5,25,5,"1,710"
 2011,Africa Sub-Saharan,Niger,260,10,5,0,245
 2011,Africa Sub-Saharan,Nigeria,"328,000","2,940","13,200",850,"311,000"
 2011,Oceania,Niue,35,0,0,0,35
 2011,Oceania,Norfolk Island,0,0,0,0,0
 2011,Oceania,Northern Mariana Islands,0,0,0,0,0
 2011,Europe Other,Norway,z,z,z,z,z
 2011,Middle East,Occupied Palestinian Territories,"2,150",25,200,25,"1,900"
 2011,Middle East,Oman,"18,000",215,"1,750",50,"16,000"
 2011,Other,Other and unknown,"10,600",25,75,90,"10,400"
 2011,Asia South,Pakistan,"238,000","5,340","34,700","7,300","191,000"
 2011,Oceania,Palau,5,*,0,0,5
 2011,America Central and South,Panama,"4,400",25,230,5,"4,140"
 2011,Oceania,Papua New Guinea,400,10,15,5,365
 2011,America Central and South,Paraguay,"2,780",25,95,5,"2,650"
 2011,America Central and South,Peru,"10,500",70,380,60,"10,000"
 2011,Asia South East,Philippines,"124,000","5,530","2,070","1,280","115,000"
 2011,Other,Pitcairn Islands (British),55,0,0,0,55
 2011,EU 8,Poland,z,z,z,z,z
 2011,EU 14,Portugal,z,z,z,z,z
 2011,America North,Puerto Rico,35,0,0,0,35
 2011,Middle East,Qatar,"32,900",95,"1,880",10,"30,900"
 2011,Other,Refugee,"31,200",10,80,20,"31,100"
 2011,Africa Sub-Saharan,Reunion,15,0,*,0,15
 2011,EU 2,Romania,z,z,z,z,z
 2011,Europe Other,Russia,"326,000","2,640","20,800",415,"302,000"
 2011,Africa Sub-Saharan,Rwanda,"1,080",10,70,10,995
 2011,Oceania,Samoa,365,15,5,0,345
 2011,Europe Other,San Marino,"1,010",*,110,0,895
 2011,Africa Sub-Saharan,Sao Tome and Principe,95,0,20,0,75
 2011,Middle East,Saudi Arabia,"156,000",830,"14,900",95,"140,000"
 2011,Africa Sub-Saharan,Senegal,"2,870",65,110,20,"2,670"
 2011,Europe Other,Serbia,"31,600",165,905,35,"30,500"
 2011,Europe Other,Serbia and Montenegro,z,z,z,z,z
 2011,Africa Sub-Saharan,Seychelles,"3,580",25,45,5,"3,500"
 2011,Africa Sub-Saharan,Sierra Leone,"8,380",50,100,105,"8,130"
 2011,Asia South East,Singapore,"129,000",470,"4,040",65,"124,000"
 2011,EU 8,Slovakia,z,z,z,z,z
 2011,EU 8,Slovenia,z,z,z,z,z
 2011,Oceania,Solomon Islands,175,*,*,0,175
 2011,Africa Sub-Saharan,Somalia,"2,150",*,15,455,"1,680"
 2011,Africa Sub-Saharan,South Africa,"269,000","2,410","1,100",980,"264,000"
 2011,Other,South Georgia and South Sandwich Islands,0,0,0,0,0
 2011,EU 14,Spain,z,z,z,z,z
 2011,Asia South,Sri Lanka,"59,900","1,470","5,070",775,"52,500"
 2011,Other,St. Helena (British),5,0,*,0,5
 2011,America Central and South,St. Kitts and Nevis,"2,080",5,20,*,"2,060"
 2011,America Central and South,St. Lucia,"4,070",5,40,30,"4,000"
 2011,America Central and South,St. Maarten (Dutch Part),0,0,0,0,0
 2011,America Central and South,St. Martin (French Part),0,0,0,0,0
 2011,America Central and South,St. Pierre and Miquelon,5,0,0,0,5
 2011,America Central and South,St. Vincent and the Grenadines,"2,880",5,30,25,"2,820"
 2011,Other,Stateless,"1,300",*,30,5,"1,270"
 2011,Africa North,Sudan,"11,600",265,385,105,"10,900"
 2011,Africa Sub-Saharan,Sudan (South),0,0,0,0,0
 2011,America Central and South,Surinam,190,5,5,*,180
 2011,Europe Other,Svalbard and Jan Mayen,30,0,0,0,30
 2011,Africa Sub-Saharan,Swaziland,545,10,5,5,525
 2011,EU 14,Sweden,z,z,z,z,z
 2011,Europe Other,Switzerland,z,z,z,z,z
 2011,Middle East,Syria,"11,700",135,720,75,"10,800"
 2011,Asia East,Taiwan,"93,400",455,"8,720",75,"84,100"
 2011,Asia Central,Tajikistan,675,30,50,5,590
 2011,Africa Sub-Saharan,Tanzania,"11,500",125,535,75,"10,700"
 2011,Asia South East,Thailand,"106,000",540,"7,680","1,190","97,100"
 2011,Africa Sub-Saharan,Togo,525,5,10,5,505
 2011,Oceania,Tokelau,0,0,0,0,0
 2011,Oceania,Tonga,505,20,5,*,480
 2011,America Central and South,Trinidad and Tobago,"30,600",160,460,75,"29,900"
 2011,Africa North,Tunisia,"11,500",120,340,135,"10,900"
 2011,Europe Other,Turkey,"212,000","1,060","14,400",765,"196,000"
 2011,Asia Central,Turkmenistan,"2,740",35,200,10,"2,490"
 2011,Other,Turks and Caicos Islands (British),25,0,*,0,20
 2011,Oceania,Tuvalu,50,0,0,0,50
 2011,Africa Sub-Saharan,Uganda,"13,300",185,500,145,"12,400"
 2011,Europe Other,Ukraine,"87,600",600,"3,510",250,"83,200"
 2011,Middle East,United Arab Emirates,"56,900",290,"1,810",10,"54,800"
 2011,America North,United States,"3,810,000","26,000","144,000","2,340","3,640,000"
 2011,America Central and South,Uruguay,"8,430",35,160,5,"8,230"
 2011,Asia Central,Uzbekistan,"4,720",70,325,20,"4,310"
 2011,Oceania,Vanuatu,70,5,*,0,65
 2011,Europe Other,Vatican City,45,0,5,0,35
 2011,America Central and South,Venezuela,"33,800",170,"1,440",50,"32,200"
 2011,Asia South East,Vietnam,"20,000",160,"3,260",130,"16,400"
 2011,Other,Virgin Islands (British),15,0,0,0,15
 2011,America North,Virgin Islands (US),595,0,40,0,555
 2011,Oceania,Wallis and Futuna,10,0,0,0,10
 2011,Africa North,Western Sahara,0,0,0,0,0
 2011,Middle East,Yemen,"4,250",95,230,110,"3,820"
 2011,Africa Sub-Saharan,Zambia,"10,200",135,430,45,"9,600"
 2011,Africa Sub-Saharan,Zimbabwe,"30,600",245,325,555,"29,400"
 2012,*Total,*Total,"12,900,000","143,000","510,000","31,700","12,200,000"
 2012,Africa North,*Total Africa North,"164,000","2,090","6,740","1,050","154,000"
 2012,Africa Sub-Saharan,*Total Africa Sub-Saharan,"836,000","7,510","20,600","4,070","804,000"
 2012,America North,*Total America North,"4,540,000","33,200","181,000","2,260","4,330,000"
 2012,America Central and South,*Total America Central and South ,"911,000","5,180","38,400","1,440","866,000"
 2012,Asia Central,*Total Asia Central,"56,200",610,"4,530",990,"50,100"
 2012,Asia East,*Total Asia East,"1,590,000","12,000","114,000","1,830","1,460,000"
 2012,Asia South,*Total Asia South,"1,220,000","45,700","36,700","13,100","1,120,000"
 2012,Asia South East,*Total Asia South East,"732,000","8,580","26,800","2,600","694,000"
 2012,EU 14,*Total EU 14,z,z,z,z,z
 2012,EU 2,*Total EU 2,z,z,z,z,z
 2012,EU 8,*Total EU 8,z,z,z,z,z
 2012,EU Other,*Total EU Other,"65,800",180,"1,100",35,"64,500"
 2012,Europe Other,*Total Europe Other,"779,000","5,340","41,400","1,820","730,000"
 2012,Middle East,*Total Middle East,"694,000","3,360","32,300","1,230","657,000"
 2012,Oceania,*Total Oceania,"1,290,000","18,700","5,630","1,130","1,260,000"
 2012,Other,*Total Other,"40,000",40,250,75,"39,700"
 2012,Asia Central,Afghanistan,"10,500",70,325,900,"9,230"
 2012,Europe Other,Albania,"14,500",40,350,160,"14,000"
 2012,Africa North,Algeria,"26,400",100,600,210,"25,500"
 2012,Oceania,American Samoa,25,0,0,0,25
 2012,Europe Other,Andorra,"1,200",0,45,0,"1,160"
 2012,Africa Sub-Saharan,Angola,"6,420",80,410,15,"5,920"
 2012,Other,Anguilla (British),10,0,*,0,10
 2012,America Central and South,Antigua and Barbuda,"2,050",15,25,5,"2,000"
 2012,America Central and South,Argentina,"110,000",970,"2,630",55,"106,000"
 2012,Europe Other,Armenia,"4,110",50,290,15,"3,750"
